created_at,field1,field2,field3,field4,field5,field6,field7,field8
2025-10-20T13:53:00,domestic eggs,salty snack,popcorn,napkins,,,,
2025-10-20T13:54:00,whole milk,jam,canned fish,waffles,,,,
2025-10-20T13:55:00,candy,,,,,,,
2025-10-20T13:56:00,pork,other vegetables,curd,whipped/sour cream,brown bread,oil,sugar,ketchup
2025-10-20T13:57:00,frankfurter,meat,pip fruit,ice cream,brown bread,pickled vegetables,jam,canned fish
2025-10-20T13:58:00,ham,UHT-milk,,,,,,
2025-10-20T13:59:00,salty snack,,,,,,,
2025-10-20T14:00:00,whole milk,cake bar,,,,,,
2025-10-20T14:01:00,canned beer,,,,,,,
2025-10-20T14:02:00,newspapers,,,,,,,
2025-10-20T14:03:00,hard cheese,rolls/buns,sugar,candy,,,,
2025-10-20T14:04:00,tropical fruit,root vegetables,whole milk,butter,chocolate,,,
2025-10-20T14:05:00,yogurt,margarine,fruit/vegetable juice,shopping bags,,,,
2025-10-20T14:06:00,tropical fruit,whole milk,processed cheese,brown bread,flour,sugar,sauces,pet care
2025-10-20T14:07:00,whole milk,yogurt,,,,,,
2025-10-20T14:08:00,ice cream,canned beer,,,,,,
2025-10-20T14:09:00,bottled beer,,,,,,,
2025-10-20T14:10:00,citrus fruit,newspapers,,,,,,
2025-10-20T14:11:00,hamburger meat,citrus fruit,whole milk,butter,yogurt,cat food,hygiene articles,shopping bags
2025-10-20T14:12:00,frozen fish,sugar,cake bar,chocolate marshmallow,candy,,,
2025-10-20T14:13:00,frozen vegetables,,,,,,,
2025-10-20T14:14:00,tropical fruit,whole milk,soda,red/blush wine,,,,
2025-10-20T14:15:00,citrus fruit,onions,yogurt,sliced cheese,rolls/buns,bottled beer,shopping bags,
2025-10-20T14:16:00,sausage,other vegetables,curd,yogurt,soft cheese,brown bread,fruit/vegetable juice,chewing gum
2025-10-20T14:17:00,whipped/sour cream,frozen vegetables,hygiene articles,,,,,
2025-10-20T14:18:00,sausage,packaged fruit/vegetables,whole milk,dessert,beverages,frozen vegetables,domestic eggs,brown bread
2025-10-20T14:19:00,yogurt,beverages,frozen meals,long life bakery product,,,,
2025-10-20T14:20:00,pastry,soda,,,,,,
2025-10-20T14:21:00,pork,white bread,make up remover,napkins,,,,
2025-10-20T14:22:00,curd,dog food,bottled beer,,,,,
2025-10-20T14:23:00,sausage,rolls/buns,soda,,,,,
2025-10-20T14:24:00,sausage,rolls/buns,fruit/vegetable juice,,,,,
2025-10-20T14:25:00,berries,pastry,seasonal products,shopping bags,,,,
2025-10-20T14:26:00,root vegetables,herbs,other vegetables,candy,seasonal products,shopping bags,,
2025-10-20T14:27:00,rolls/buns,,,,,,,
2025-10-20T14:28:00,domestic eggs,soda,cake bar,,,,,
2025-10-20T14:29:00,tidbits,rolls/buns,instant coffee,soda,waffles,,,
2025-10-20T14:30:00,curd,rolls/buns,long life bakery product,,,,,
2025-10-20T14:31:00,hygiene articles,,,,,,,
2025-10-20T14:32:00,spread cheese,rolls/buns,canned fish,,,,,
2025-10-20T14:33:00,berries,yogurt,misc. beverages,canned beer,liquor,cake bar,,
2025-10-20T14:34:00,coffee,soda,,,,,,
2025-10-20T14:35:00,other vegetables,whole milk,rolls/buns,,,,,
2025-10-20T14:36:00,frankfurter,other vegetables,whole milk,coffee,hygiene articles,,,
2025-10-20T14:37:00,sausage,citrus fruit,whole milk,pastry,bottled water,soda,bottled beer,canned beer
2025-10-20T14:38:00,ice cream,,,,,,,
2025-10-20T14:39:00,frankfurter,soft cheese,rolls/buns,canned beer,,,,
2025-10-20T14:40:00,dessert,fruit/vegetable juice,long life bakery product,waffles,,,,
2025-10-20T14:41:00,ham,,,,,,,
2025-10-20T14:42:00,semi-finished bread,long life bakery product,waffles,detergent,newspapers,shopping bags,,
2025-10-20T14:43:00,whole milk,whipped/sour cream,,,,,,
2025-10-20T14:44:00,root vegetables,yogurt,cat food,coffee,cling film/bags,,,
2025-10-20T14:45:00,beef,rolls/buns,canned beer,napkins,,,,
2025-10-20T14:46:00,citrus fruit,pip fruit,white bread,brown bread,pastry,waffles,,
2025-10-20T14:47:00,citrus fruit,,,,,,,
2025-10-20T14:48:00,bottled water,,,,,,,
2025-10-20T14:49:00,pork,other vegetables,whole milk,yogurt,frozen fish,rolls/buns,roll products,flour
2025-10-20T14:50:00,frankfurter,whole milk,mustard,chewing gum,,,,
2025-10-20T14:51:00,berries,root vegetables,whole milk,,,,,
2025-10-20T14:52:00,bottled beer,liquor,,,,,,
2025-10-20T14:53:00,ham,yogurt,cling film/bags,,,,,
2025-10-20T14:54:00,whole milk,margarine,,,,,,
2025-10-20T14:55:00,coffee,,,,,,,
2025-10-20T14:56:00,chicken,beef,tropical fruit,berries,frozen vegetables,zwieback,dishes,
2025-10-20T14:57:00,frankfurter,rolls/buns,chocolate,,,,,
2025-10-20T14:58:00,beef,butter,,,,,,
2025-10-20T14:59:00,canned beer,,,,,,,
2025-10-20T15:00:00,rolls/buns,,,,,,,
2025-10-20T15:01:00,whole milk,soda,,,,,,
2025-10-20T15:02:00,pip fruit,whole milk,,,,,,
2025-10-20T15:03:00,soda,,,,,,,
2025-10-20T15:04:00,bottled beer,,,,,,,
2025-10-20T15:05:00,frankfurter,rolls/buns,soda,specialty bar,,,,
2025-10-20T15:06:00,sausage,,,,,,,
2025-10-20T15:07:00,other vegetables,,,,,,,
2025-10-20T15:08:00,soda,seasonal products,,,,,,
2025-10-20T15:09:00,onions,whole milk,domestic eggs,sugar,hygiene articles,light bulbs,,
2025-10-20T15:10:00,root vegetables,other vegetables,yogurt,processed cheese,pickled vegetables,newspapers,,
2025-10-20T15:11:00,other vegetables,,,,,,,
2025-10-20T15:12:00,chewing gum,specialty chocolate,,,,,,
2025-10-20T15:13:00,fruit/vegetable juice,,,,,,,
2025-10-20T15:14:00,pork,berries,onions,,,,,
2025-10-20T15:15:00,dessert,spread cheese,pastry,soda,seasonal products,,,
2025-10-20T15:16:00,flour,sugar,,,,,,
2025-10-20T15:17:00,tropical fruit,pip fruit,whole milk,flower soil/fertilizer,,,,
2025-10-20T15:18:00,pip fruit,berries,yogurt,,,,,
2025-10-20T15:19:00,yogurt,margarine,,,,,,
2025-10-20T15:20:00,ice cream,,,,,,,
2025-10-20T15:21:00,pastry,,,,,,,
2025-10-20T15:22:00,whole milk,cereals,,,,,,
2025-10-20T15:23:00,citrus fruit,packaged fruit/vegetables,yogurt,white wine,long life bakery product,,,
2025-10-20T15:24:00,onions,whipped/sour cream,coffee,fruit/vegetable juice,flower (seeds),,,
2025-10-20T15:25:00,berries,butter,domestic eggs,soda,red/blush wine,,,
2025-10-20T15:26:00,tropical fruit,,,,,,,
2025-10-20T15:27:00,bottled water,white wine,,,,,,
2025-10-20T15:28:00,whole milk,margarine,,,,,,
2025-10-20T15:29:00,UHT-milk,,,,,,,
2025-10-20T15:30:00,pork,whole milk,white bread,pastry,specialty fat,sweet spreads,female sanitary products,
2025-10-20T15:31:00,pastry,soda,,,,,,
2025-10-20T15:32:00,other vegetables,whole milk,hard cheese,long life bakery product,cooking chocolate,hygiene articles,,
2025-10-20T15:33:00,frozen meals,soda,,,,,,
2025-10-20T15:34:00,root vegetables,whole milk,curd,,,,,
2025-10-20T15:35:00,soda,,,,,,,
2025-10-20T15:36:00,chicken,root vegetables,herbs,other vegetables,canned beer,liquor (appetizer),shopping bags,
2025-10-20T15:37:00,dessert,frozen meals,soda,seasonal products,,,,
2025-10-20T15:38:00,sausage,specialty bar,,,,,,
2025-10-20T15:39:00,other vegetables,whole milk,yogurt,beverages,hard cheese,fruit/vegetable juice,,
2025-10-20T15:40:00,soda,fruit/vegetable juice,,,,,,
2025-10-20T15:41:00,beef,cat food,newspapers,,,,,
2025-10-20T15:42:00,berries,packaged fruit/vegetables,yogurt,rolls/buns,misc. beverages,,,
2025-10-20T15:43:00,ham,whole milk,rolls/buns,bottled water,white wine,,,
2025-10-20T15:44:00,citrus fruit,whipped/sour cream,,,,,,
2025-10-20T15:45:00,berries,whipped/sour cream,domestic eggs,,,,,
2025-10-20T15:46:00,meat,chicken,other vegetables,whole milk,,,,
2025-10-20T15:47:00,coffee,soda,canned beer,,,,,
2025-10-20T15:48:00,long life bakery product,,,,,,,
2025-10-20T15:49:00,whole milk,beverages,brown bread,pastry,specialty chocolate,,,
2025-10-20T15:50:00,root vegetables,whole milk,yogurt,brown bread,pastry,specialty chocolate,candy,
2025-10-20T15:51:00,pork,root vegetables,rice,sparkling wine,hygiene articles,newspapers,shopping bags,
2025-10-20T15:52:00,yogurt,domestic eggs,,,,,,
2025-10-20T15:53:00,soda,,,,,,,
2025-10-20T15:54:00,frankfurter,sausage,brown bread,canned fish,bottled water,canned beer,candles,
2025-10-20T15:55:00,photo/film,,,,,,,
2025-10-20T15:56:00,tropical fruit,dessert,soft cheese,brown bread,shopping bags,,,
2025-10-20T15:57:00,chicken,yogurt,cream cheese,specialty cheese,margarine,canned vegetables,soda,candy
2025-10-20T15:58:00,soda,bottled beer,shopping bags,,,,,
2025-10-20T15:59:00,sausage,whole milk,canned beer,,,,,
2025-10-20T16:00:00,citrus fruit,root vegetables,other vegetables,ice cream,,,,
2025-10-20T16:01:00,pastry,,,,,,,
2025-10-20T16:02:00,root vegetables,whole milk,butter,rice,bottled water,soda,canned beer,white wine
2025-10-20T16:03:00,hard cheese,pasta,canned vegetables,canned fish,soda,,,
2025-10-20T16:04:00,curd,flour,canned beer,,,,,
2025-10-20T16:05:00,berries,whipped/sour cream,coffee,bottled water,soda,white wine,salty snack,hygiene articles
2025-10-20T16:06:00,cat food,canned beer,specialty chocolate,hygiene articles,napkins,shopping bags,,
2025-10-20T16:07:00,bottled water,,,,,,,
2025-10-20T16:08:00,soda,nut snack,flower (seeds),,,,,
2025-10-20T16:09:00,fruit/vegetable juice,hygiene articles,napkins,,,,,
2025-10-20T16:10:00,brown bread,,,,,,,
2025-10-20T16:11:00,citrus fruit,root vegetables,whole milk,curd,,,,
2025-10-20T16:12:00,whipped/sour cream,frozen vegetables,newspapers,,,,,
2025-10-20T16:13:00,yogurt,sliced cheese,frozen meals,,,,,
2025-10-20T16:14:00,chicken,other vegetables,,,,,,
2025-10-20T16:15:00,photo/film,,,,,,,
2025-10-20T16:16:00,sausage,citrus fruit,tropical fruit,pip fruit,grapes,bottled water,soda,bottled beer
2025-10-20T16:17:00,tropical fruit,mustard,sauces,,,,,
2025-10-20T16:18:00,whole milk,margarine,soda,napkins,photo/film,,,
2025-10-20T16:19:00,butter,curd,,,,,,
2025-10-20T16:20:00,citrus fruit,tropical fruit,pip fruit,UHT-milk,frozen fish,soda,fruit/vegetable juice,hygiene articles
2025-10-20T16:21:00,pork,,,,,,,
2025-10-20T16:22:00,frozen fish,,,,,,,
2025-10-20T16:23:00,beef,,,,,,,
2025-10-20T16:24:00,other vegetables,UHT-milk,canned vegetables,bottled water,cake bar,shopping bags,,
2025-10-20T16:25:00,chicken,packaged fruit/vegetables,butter,condensed milk,rolls/buns,,,
2025-10-20T16:26:00,beverages,,,,,,,
2025-10-20T16:27:00,pork,,,,,,,
2025-10-20T16:28:00,candy,photo/film,,,,,,
2025-10-20T16:29:00,whole milk,,,,,,,
2025-10-20T16:30:00,other vegetables,frozen vegetables,domestic eggs,soda,canned beer,liquor,shopping bags,
2025-10-20T16:31:00,coffee,,,,,,,
2025-10-20T16:32:00,sausage,hamburger meat,tropical fruit,pip fruit,other vegetables,sliced cheese,hard cheese,frozen fish
2025-10-20T16:33:00,bottled beer,,,,,,,
2025-10-20T16:34:00,soda,canned beer,chocolate,,,,,
2025-10-20T16:35:00,frankfurter,hamburger meat,beverages,shopping bags,,,,
2025-10-20T16:36:00,whipped/sour cream,brown bread,,,,,,
2025-10-20T16:37:00,tropical fruit,whole milk,candles,,,,,
2025-10-20T16:38:00,sausage,tropical fruit,,,,,,
2025-10-20T16:39:00,rolls/buns,specialty chocolate,,,,,,
2025-10-20T16:40:00,other vegetables,whole milk,frozen potato products,brown bread,semi-finished bread,salt,canned vegetables,
2025-10-20T16:41:00,citrus fruit,other vegetables,dessert,whipped/sour cream,soda,,,
2025-10-20T16:42:00,pastry,soda,,,,,,
2025-10-20T16:43:00,citrus fruit,yogurt,canned fruit,,,,,
2025-10-20T16:44:00,pet care,,,,,,,
2025-10-20T16:45:00,butter,cream cheese,frozen vegetables,soda,fruit/vegetable juice,napkins,shopping bags,
2025-10-20T16:46:00,citrus fruit,tropical fruit,onions,packaged fruit/vegetables,yogurt,napkins,,
2025-10-20T16:47:00,whole milk,bottled beer,,,,,,
2025-10-20T16:48:00,pork,,,,,,,
2025-10-20T16:49:00,ham,pork,whole milk,yogurt,hard cheese,spread cheese,rolls/buns,white bread
2025-10-20T16:50:00,soda,snack products,detergent,,,,,
2025-10-20T16:51:00,tropical fruit,yogurt,soda,newspapers,shopping bags,,,
2025-10-20T16:52:00,ham,root vegetables,onions,herbs,cream cheese,zwieback,potted plants,
2025-10-20T16:53:00,sausage,misc. beverages,canned beer,waffles,shopping bags,,,
2025-10-20T16:54:00,dishes,,,,,,,
2025-10-20T16:55:00,other vegetables,rolls/buns,white wine,,,,,
2025-10-20T16:56:00,semi-finished bread,bottled beer,liquor,candy,,,,
2025-10-20T16:57:00,sausage,tropical fruit,root vegetables,other vegetables,curd,yogurt,sliced cheese,cream cheese
2025-10-20T16:58:00,citrus fruit,rolls/buns,specialty bar,,,,,
2025-10-20T16:59:00,bottled beer,,,,,,,
2025-10-20T17:00:00,soda,misc. beverages,candy,,,,,
2025-10-20T17:01:00,pastry,long life bakery product,waffles,napkins,,,,
2025-10-20T17:02:00,bottled beer,,,,,,,
2025-10-20T17:03:00,specialty chocolate,,,,,,,
2025-10-20T17:04:00,soda,fruit/vegetable juice,,,,,,
2025-10-20T17:05:00,misc. beverages,,,,,,,
2025-10-20T17:06:00,seasonal products,,,,,,,
2025-10-20T17:07:00,citrus fruit,butter,yogurt,cat food,coffee,bottled water,chocolate,specialty chocolate
2025-10-20T17:08:00,yogurt,specialty bar,,,,,,
2025-10-20T17:09:00,meat,beef,root vegetables,other vegetables,butter,yogurt,frozen vegetables,frozen meals
2025-10-20T17:10:00,frankfurter,tropical fruit,whole milk,cream cheese,rolls/buns,pet care,bottled water,napkins
2025-10-20T17:11:00,frankfurter,onions,pickled vegetables,,,,,
2025-10-20T17:12:00,packaged fruit/vegetables,,,,,,,
2025-10-20T17:13:00,root vegetables,yogurt,whipped/sour cream,beverages,hard cheese,cream cheese,organic products,soda
2025-10-20T17:14:00,pastry,,,,,,,
2025-10-20T17:15:00,frankfurter,packaged fruit/vegetables,soft cheese,soda,,,,
2025-10-20T17:16:00,whole milk,butter,brown bread,pastry,sweet spreads,soda,newspapers,
2025-10-20T17:17:00,citrus fruit,tropical fruit,prosecco,,,,,
2025-10-20T17:18:00,beef,whole milk,white bread,,,,,
2025-10-20T17:19:00,frankfurter,sausage,root vegetables,other vegetables,yogurt,UHT-milk,white bread,long life bakery product
2025-10-20T17:20:00,pork,hamburger meat,citrus fruit,butter,yogurt,whipped/sour cream,hard cheese,frozen vegetables
2025-10-20T17:21:00,sausage,tropical fruit,root vegetables,other vegetables,cream cheese,pickled vegetables,candles,
2025-10-20T17:22:00,whipped/sour cream,ice cream,rolls/buns,semi-finished bread,soda,,,
2025-10-20T17:23:00,coffee,,,,,,,
2025-10-20T17:24:00,sausage,citrus fruit,tropical fruit,curd,dessert,processed cheese,margarine,soda
2025-10-20T17:25:00,tropical fruit,pip fruit,,,,,,
2025-10-20T17:26:00,pork,tropical fruit,pip fruit,processed cheese,spread cheese,curd cheese,bottled beer,
2025-10-20T17:27:00,pork,citrus fruit,dessert,whipped/sour cream,cream cheese,salty snack,dishes,
2025-10-20T17:28:00,other vegetables,,,,,,,
2025-10-20T17:29:00,chicken,tropical fruit,yogurt,,,,,
2025-10-20T17:30:00,ham,beef,tropical fruit,whole milk,curd,yogurt,rolls/buns,ready soups
2025-10-20T17:31:00,root vegetables,herbs,,,,,,
2025-10-20T17:32:00,tropical fruit,onions,other vegetables,whole milk,butter milk,pickled vegetables,kitchen towels,
2025-10-20T17:33:00,soda,,,,,,,
2025-10-20T17:34:00,whole milk,,,,,,,
2025-10-20T17:35:00,whole milk,yogurt,hard cheese,cream cheese,margarine,sugar,misc. beverages,detergent
2025-10-20T17:36:00,bottled beer,,,,,,,
2025-10-20T17:37:00,brown bread,,,,,,,
2025-10-20T17:38:00,bottled beer,,,,,,,
2025-10-20T17:39:00,dessert,canned beer,,,,,,
2025-10-20T17:40:00,sausage,whole milk,cream cheese,brown bread,,,,
2025-10-20T17:41:00,meat,rolls/buns,,,,,,
2025-10-20T17:42:00,pip fruit,yogurt,pastry,baking powder,long life bakery product,,,
2025-10-20T17:43:00,beef,citrus fruit,pip fruit,yogurt,condensed milk,cream cheese,white bread,dish cleaner
2025-10-20T17:44:00,root vegetables,other vegetables,white bread,sparkling wine,,,,
2025-10-20T17:45:00,dessert,bottled beer,candy,,,,,
2025-10-20T17:46:00,dessert,pastry,canned beer,,,,,
2025-10-20T17:47:00,other vegetables,whole milk,yogurt,bottled water,liquor (appetizer),,,
2025-10-20T17:48:00,beverages,cat food,dish cleaner,napkins,shopping bags,,,
2025-10-20T17:49:00,frankfurter,citrus fruit,grapes,rolls/buns,pastry,fruit/vegetable juice,chocolate,candy
2025-10-20T17:50:00,citrus fruit,grapes,whipped/sour cream,flour,margarine,sugar,soups,baking powder
2025-10-20T17:51:00,pastry,cake bar,,,,,,
2025-10-20T17:52:00,yogurt,bottled water,syrup,specialty bar,,,,
2025-10-20T17:53:00,whole milk,brown bread,soda,,,,,
2025-10-20T17:54:00,sausage,pork,citrus fruit,bottled water,soda,misc. beverages,canned beer,red/blush wine
2025-10-20T17:55:00,pip fruit,other vegetables,frozen meals,,,,,
2025-10-20T17:56:00,sausage,white bread,,,,,,
2025-10-20T17:57:00,bottled water,,,,,,,
2025-10-20T17:58:00,meat,root vegetables,whole milk,butter,processed cheese,domestic eggs,bottled water,soda
2025-10-20T17:59:00,finished products,,,,,,,
2025-10-20T18:00:00,other vegetables,,,,,,,
2025-10-20T18:01:00,domestic eggs,,,,,,,
2025-10-20T18:02:00,soda,,,,,,,
2025-10-20T18:03:00,chicken,citrus fruit,tropical fruit,pip fruit,whole milk,white bread,,
2025-10-20T18:04:00,sausage,coffee,canned beer,liquor,red/blush wine,sparkling wine,shopping bags,
2025-10-20T18:05:00,soda,specialty bar,,,,,,
2025-10-20T18:06:00,whole milk,semi-finished bread,zwieback,soda,canned beer,,,
2025-10-20T18:07:00,rolls/buns,,,,,,,
2025-10-20T18:08:00,canned beer,,,,,,,
2025-10-20T18:09:00,bottled beer,,,,,,,
2025-10-20T18:10:00,citrus fruit,whole milk,yogurt,domestic eggs,chewing gum,,,
2025-10-20T18:11:00,napkins,,,,,,,
2025-10-20T18:12:00,beef,tropical fruit,whole milk,beverages,frozen vegetables,,,
2025-10-20T18:13:00,canned beer,,,,,,,
2025-10-20T18:14:00,ham,root vegetables,whole milk,butter,whipped/sour cream,hard cheese,rolls/buns,
2025-10-20T18:15:00,frankfurter,meat,pork,beef,berries,other vegetables,whole milk,domestic eggs
2025-10-20T18:16:00,yogurt,soft cheese,rolls/buns,specialty bar,,,,
2025-10-20T18:17:00,turkey,beef,root vegetables,whole milk,,,,
2025-10-20T18:18:00,whole milk,,,,,,,
2025-10-20T18:19:00,yogurt,sugar,baking powder,fruit/vegetable juice,newspapers,,,
2025-10-20T18:20:00,chicken,other vegetables,whole milk,frozen vegetables,rolls/buns,pastry,,
2025-10-20T18:21:00,whole milk,domestic eggs,bottled water,soda,shopping bags,,,
2025-10-20T18:22:00,sausage,pork,other vegetables,whole milk,coffee,,,
2025-10-20T18:23:00,chicken,bottled water,,,,,,
2025-10-20T18:24:00,citrus fruit,berries,other vegetables,whole milk,dessert,whipped/sour cream,cream cheese,bottled water
2025-10-20T18:25:00,tropical fruit,other vegetables,yogurt,,,,,
2025-10-20T18:26:00,rolls/buns,,,,,,,
2025-10-20T18:27:00,UHT-milk,hygiene articles,napkins,cling film/bags,,,,
2025-10-20T18:28:00,candy,,,,,,,
2025-10-20T18:29:00,pip fruit,bottled water,white wine,newspapers,,,,
2025-10-20T18:30:00,whole milk,yogurt,mustard,bottled water,newspapers,,,
2025-10-20T18:31:00,coffee,shopping bags,,,,,,
2025-10-20T18:32:00,sausage,meat,brown bread,bottled water,soda,canned beer,shopping bags,
2025-10-20T18:33:00,citrus fruit,other vegetables,canned fish,bottled water,,,,
2025-10-20T18:34:00,rolls/buns,,,,,,,
2025-10-20T18:35:00,whole milk,yogurt,coffee,,,,,
2025-10-20T18:36:00,whipped/sour cream,rolls/buns,,,,,,
2025-10-20T18:37:00,citrus fruit,tropical fruit,white bread,fruit/vegetable juice,napkins,shopping bags,,
2025-10-20T18:38:00,butter milk,salt,vinegar,cat food,,,,
2025-10-20T18:39:00,frankfurter,beef,other vegetables,whole milk,domestic eggs,rolls/buns,,
2025-10-20T18:40:00,frankfurter,butter milk,rolls/buns,coffee,,,,
2025-10-20T18:41:00,beef,tropical fruit,onions,whole milk,butter,yogurt,rolls/buns,brown bread
2025-10-20T18:42:00,chicken,root vegetables,margarine,bottled water,soda,,,
2025-10-20T18:43:00,canned beer,,,,,,,
2025-10-20T18:44:00,sausage,liver loaf,whole milk,cream cheese,rolls/buns,salt,,
2025-10-20T18:45:00,specialty bar,,,,,,,
2025-10-20T18:46:00,bottled water,,,,,,,
2025-10-20T18:47:00,chicken,other vegetables,oil,,,,,
2025-10-20T18:48:00,whole milk,newspapers,,,,,,
2025-10-20T18:49:00,sausage,meat,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water
2025-10-20T18:50:00,canned beer,,,,,,,
2025-10-20T18:51:00,rolls/buns,,,,,,,
2025-10-20T18:52:00,bottled water,soda,misc. beverages,flower soil/fertilizer,,,,
2025-10-20T18:53:00,soda,,,,,,,
2025-10-20T18:54:00,chicken,citrus fruit,root vegetables,butter,domestic eggs,brown bread,margarine,sweet spreads
2025-10-20T18:55:00,beverages,rolls/buns,,,,,,
2025-10-20T18:56:00,nuts/prunes,,,,,,,
2025-10-20T18:57:00,rolls/buns,,,,,,,
2025-10-20T18:58:00,other vegetables,curd,yogurt,shopping bags,,,,
2025-10-20T18:59:00,packaged fruit/vegetables,frozen fish,napkins,,,,,
2025-10-20T19:00:00,sausage,rolls/buns,newspapers,,,,,
2025-10-20T19:01:00,pip fruit,whole milk,yogurt,pastry,seasonal products,male cosmetics,,
2025-10-20T19:02:00,soda,napkins,,,,,,
2025-10-20T19:03:00,liver loaf,rolls/buns,soda,,,,,
2025-10-20T19:04:00,pork,berries,sugar,candy,dishes,,,
2025-10-20T19:05:00,chicken,packaged fruit/vegetables,frozen vegetables,frozen meals,misc. beverages,newspapers,flower (seeds),
2025-10-20T19:06:00,tropical fruit,whole milk,butter milk,brown bread,shopping bags,,,
2025-10-20T19:07:00,flower soil/fertilizer,,,,,,,
2025-10-20T19:08:00,meat,butter,pastry,soda,,,,
2025-10-20T19:09:00,sausage,hamburger meat,tropical fruit,whole milk,sliced cheese,rolls/buns,oil,Instant food products
2025-10-20T19:10:00,citrus fruit,other vegetables,whole milk,domestic eggs,soda,,,
2025-10-20T19:11:00,beef,other vegetables,whole milk,yogurt,,,,
2025-10-20T19:12:00,whole milk,,,,,,,
2025-10-20T19:13:00,whipped/sour cream,domestic eggs,salt,sugar,canned vegetables,soda,canned beer,dish cleaner
2025-10-20T19:14:00,chicken,whole milk,,,,,,
2025-10-20T19:15:00,chicken,hamburger meat,onions,frozen meals,domestic eggs,vinegar,Instant food products,baking powder
2025-10-20T19:16:00,bottled water,soda,,,,,,
2025-10-20T19:17:00,pork,hygiene articles,,,,,,
2025-10-20T19:18:00,ice cream,brown bread,bottled water,soda,,,,
2025-10-20T19:19:00,ham,other vegetables,frozen meals,pasta,pickled vegetables,soda,misc. beverages,candy
2025-10-20T19:20:00,butter milk,whipped/sour cream,dog food,coffee,soda,abrasive cleaner,newspapers,
2025-10-20T19:21:00,frankfurter,,,,,,,
2025-10-20T19:22:00,pork,brown bread,bottled water,soda,,,,
2025-10-20T19:23:00,sausage,pork,tropical fruit,other vegetables,yogurt,frozen vegetables,rolls/buns,bottled water
2025-10-20T19:24:00,berries,other vegetables,curd,brown bread,canned fish,chocolate,detergent,
2025-10-20T19:25:00,sausage,citrus fruit,yogurt,detergent,soap,,,
2025-10-20T19:26:00,whole milk,,,,,,,
2025-10-20T19:27:00,other vegetables,rolls/buns,,,,,,
2025-10-20T19:28:00,sausage,other vegetables,rolls/buns,canned beer,shopping bags,,,
2025-10-20T19:29:00,rolls/buns,bottled water,canned beer,newspapers,,,,
2025-10-20T19:30:00,yogurt,,,,,,,
2025-10-20T19:31:00,root vegetables,packaged fruit/vegetables,pastry,,,,,
2025-10-20T19:32:00,rolls/buns,soda,,,,,,
2025-10-20T19:33:00,herbs,packaged fruit/vegetables,,,,,,
2025-10-20T19:34:00,other vegetables,whole milk,pastry,waffles,specialty bar,shopping bags,,
2025-10-20T19:35:00,pip fruit,whole milk,curd,yogurt,whipped/sour cream,rolls/buns,oil,margarine
2025-10-20T19:36:00,pork,root vegetables,other vegetables,,,,,
2025-10-20T19:37:00,soda,,,,,,,
2025-10-20T19:38:00,onions,other vegetables,UHT-milk,condensed milk,cream cheese,salt,sugar,dog food
2025-10-20T19:39:00,other vegetables,,,,,,,
2025-10-20T19:40:00,hamburger meat,tropical fruit,pip fruit,grapes,berries,packaged fruit/vegetables,whipped/sour cream,coffee
2025-10-20T19:41:00,rum,,,,,,,
2025-10-20T19:42:00,shopping bags,,,,,,,
2025-10-20T19:43:00,other vegetables,whole milk,,,,,,
2025-10-20T19:44:00,beef,citrus fruit,rice,dog food,soda,fruit/vegetable juice,dishes,shopping bags
2025-10-20T19:45:00,root vegetables,,,,,,,
2025-10-20T19:46:00,frankfurter,,,,,,,
2025-10-20T19:47:00,frankfurter,other vegetables,whole milk,curd,frozen fish,domestic eggs,margarine,tea
2025-10-20T19:48:00,ice cream,frozen dessert,,,,,,
2025-10-20T19:49:00,pastry,soda,,,,,,
2025-10-20T19:50:00,chicken,,,,,,,
2025-10-20T19:51:00,baking powder,soda,shopping bags,,,,,
2025-10-20T19:52:00,berries,other vegetables,,,,,,
2025-10-20T19:53:00,pet care,,,,,,,
2025-10-20T19:54:00,misc. beverages,,,,,,,
2025-10-20T19:55:00,sausage,beef,pip fruit,whole milk,cream cheese,white bread,brown bread,seasonal products
2025-10-20T19:56:00,whipped/sour cream,,,,,,,
2025-10-20T19:57:00,rolls/buns,soda,,,,,,
2025-10-20T19:58:00,fish,coffee,,,,,,
2025-10-20T19:59:00,tropical fruit,onions,,,,,,
2025-10-20T20:00:00,other vegetables,butter milk,cream cheese,rolls/buns,,,,
2025-10-20T20:01:00,ham,processed cheese,rolls/buns,,,,,
2025-10-20T20:02:00,meat,chicken,pork,packaged fruit/vegetables,rolls/buns,pastry,rice,fruit/vegetable juice
2025-10-20T20:03:00,margarine,flower (seeds),,,,,,
2025-10-20T20:04:00,sausage,rolls/buns,specialty chocolate,,,,,
2025-10-20T20:05:00,citrus fruit,tropical fruit,butter milk,yogurt,rolls/buns,,,
2025-10-20T20:06:00,sausage,sliced cheese,canned beer,,,,,
2025-10-20T20:07:00,sausage,rolls/buns,fruit/vegetable juice,,,,,
2025-10-20T20:08:00,other vegetables,rolls/buns,soda,,,,,
2025-10-20T20:09:00,meat,other vegetables,pickled vegetables,coffee,liquor,long life bakery product,newspapers,
2025-10-20T20:10:00,soda,specialty bar,,,,,,
2025-10-20T20:11:00,sausage,pip fruit,other vegetables,coffee,,,,
2025-10-20T20:12:00,pip fruit,soft cheese,,,,,,
